#{"t_start": 1700423854.4740162, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
390.0,3633,195.227037
105.0,1747,196.123612
230.0,2307,197.311474
565.0,3759,199.26371
295.0,2851,200.741062
105.0,1945,201.751296
210.0,2443,203.009503
200.0,2485,204.291902
145.0,1907,205.281566
505.0,4201,211.011389
225.0,2287,212.189055
110.0,1507,212.962127
425.0,2979,214.50975
180.0,2893,215.996825
300.0,2491,217.277763
170.0,2061,218.342312
180.0,2443,219.601462
215.0,2121,220.699098
115.0,1067,221.239106
255.0,2593,222.571221
215.0,1831,223.516368
110.0,1977,224.536063
415.0,4329,226.716538
250.0,2401,227.927835
105.0,1963,228.920308
205.0,2817,230.351043
210.0,1931,231.331073
175.0,3069,232.887727
180.0,1921,233.864878
225.0,2083,234.916122
185.0,4305,237.0962
110.0,1955,238.089256
210.0,2445,239.329153
255.0,3167,240.922733
160.0,1999,241.929611
125.0,2039,242.960479
195.0,2473,244.209202
110.0,1523,244.973094
60.0,1061,245.499304
180.0,1875,246.450263
105.0,1155,247.026372
190.0,3065,248.579482
185.0,2451,249.82441
200.0,2687,251.178713
195.0,1995,252.185512
200.0,3055,253.740832
200.0,2329,254.914294
205.0,2369,256.114639
190.0,1957,257.091475
200.0,1613,257.904887
195.0,3403,259.634577
180.0,2439,260.870194
230.0,2905,266.714326
220.0,3097,268.238167
220.0,2903,269.66965
120.0,1561,270.449747
125.0,1767,271.348736
210.0,2467,272.588967
250.0,2165,273.676372
245.0,2425,274.919529
610.0,5218,277.563449
205.0,2043,278.59481
120.0,2365,279.792349
305.0,3623,281.623743
160.0,2827,283.050792
190.0,2429,284.287178
180.0,2419,285.519209
185.0,1887,286.467474
470.0,2495,287.732377
315.0,4547,290.09586
125.0,1913,291.089699
190.0,2851,292.564832
455.0,4265,294.747215
115.0,1063,295.288553
205.0,2063,296.356225
495.0,4191,298.475235
370.0,3889,300.434049
115.0,1065,300.965076
150.0,2997,302.486193
295.0,3847,304.451716
155.0,1897,305.40443
895.0,4403,307.612646
260.0,2927,309.093396
215.0,2053,310.121108
135.0,2277,311.269414
200.0,1875,312.215282
90.0,1357,312.896647
150.0,1917,313.864653
60.0,1263,314.521128
125.0,1725,315.401686
255.0,2227,316.556503
195.0,1727,317.446481
260.0,1949,322.17057
205.0,1981,323.165508
485.0,5021,325.925231
210.0,1971,326.941102
320.0,2347,328.174275
175.0,1873,329.140164
200.0,2135,330.251005
250.0,2715,331.663871
545.0,2939,333.192282
170.0,2219,334.33474
130.0,1665,335.195279
435.0,2105,336.283917
85.0,1561,337.097438
235.0,2319,338.293042
365.0,3539,340.118661
465.0,3957,342.166519
95.0,1577,342.98694
265.0,3485,344.793988
180.0,2503,346.093779
465.0,4805,348.560916
250.0,1875,349.534394
845.0,3775,351.475852
605.0,4085,353.596579
380.0,3211,355.259542
285.0,3105,356.876667
505.0,4757,359.304973
190.0,1727,360.192984
135.0,1665,361.048237
195.0,1897,362.041805
145.0,1547,362.84225
10.0,1347,363.540548
125.0,1565,364.358229
285.0,3263,366.054661
155.0,1957,367.068257
465.0,3353,368.773979
160.0,1523,369.547604
215.0,2239,370.689787
220.0,1995,371.70142
140.0,1947,372.706537
190.0,2059,373.757683
215.0,1901,378.818663
90.0,1049,379.350778
125.0,1419,380.074626
130.0,1679,380.944576
160.0,1639,381.793528
110.0,1607,382.628541
255.0,2913,384.143212
255.0,2153,385.257797
235.0,1981,386.290174
155.0,1881,387.242067
210.0,2831,388.669502
185.0,1589,389.46419
180.0,1987,390.470337
225.0,1917,391.433676
310.0,3561,393.223225
210.0,2757,394.622355
105.0,1645,395.456575
160.0,2299,396.632632
110.0,1863,397.569083
230.0,1895,398.528349
175.0,2027,399.57627
270.0,2133,400.649807
155.0,2099,401.709463
230.0,2951,403.212715
195.0,1955,404.185802
260.0,2477,405.414439
205.0,2075,406.461424
320.0,2639,407.793333
260.0,2767,409.187011
280.0,2443,410.418031
375.0,2837,411.850832
135.0,1491,412.604868
200.0,2131,413.680536
235.0,2193,414.79538
160.0,1689,415.662649
265.0,2523,416.949572
205.0,1681,417.799227
270.0,3145,419.397172
175.0,2015,420.426533
150.0,1917,421.399662
245.0,2239,422.529046
230.0,2345,423.714037
235.0,2753,425.115797
155.0,1945,426.103991
170.0,1907,427.075693
205.0,1995,428.090668
325.0,3151,429.69472
280.0,2889,434.786829
370.0,2795,436.195361
160.0,2355,437.396455
190.0,1921,438.380896
105.0,1491,439.151464
325.0,2991,440.696353
515.0,3185,442.320673
225.0,2829,443.751052
345.0,3499,445.499291
465.0,3107,447.09519
210.0,2741,448.513515
380.0,3861,450.507309
170.0,2009,451.55282
250.0,1907,452.540692
485.0,2687,453.9271
310.0,2271,455.090578
280.0,2537,456.409896
180.0,1923,457.405939
130.0,1923,458.382234
